Plant;Material;Timeperiod;Revenue;Quantity
111;1;01/01/18;3000;150
111;2;02/01/18;5000;250
111;3;03/01/18;1500;75
111;4;04/01/18;3000;150
111;5;05/01/18;1450;72.5
111;6;06/01/18;30000;1500
111;7;07/01/18;30000;1500
111;8;08/01/18;5000;250
111;9;09/01/18;30000;1500
111;10;10/01/18;30000;1500
111;11;11/01/18;3000;150
111;12;12/01/18;5000;250
111;13;01/01/19;5000;250
111;14;02/01/19;1500;75
111;15;03/01/19;3000;150
111;16;04/01/19;30000;1500
111;17;05/01/19;3000;150
111;18;06/01/19;1500;75
222;31;07/01/18;500;25
222;32;08/01/18;600;30
222;33;09/01/18;600;30
222;34;10/01/18;600;30
222;35;11/01/18;700;35
222;36;12/01/18;400;20
222;37;01/01/19;500;25
222;38;02/01/19;600;30
222;39;03/01/19;400;20
222;40;04/01/19;500;25
222;41;05/01/19;700;35
222;42;06/01/19;600;30
222;43;07/01/19;600;30
222;44;08/01/19;600;30
222;45;09/01/19;700;35
222;46;10/01/19;400;20
222;47;11/01/19;500;25
222;48;12/01/19;600;30
333;49;01/01/18;1000;50
333;50;02/01/18;1000;50
333;51;03/01/18;1000;50
333;52;04/01/18;500;25
333;53;05/01/18;1000;50
333;54;06/01/18;1000;50
333;55;07/01/18;1000;50
333;56;08/01/18;1000;50
333;57;09/01/18;1000;50
333;58;10/01/18;800;40
333;59;11/01/18;1100;55
333;60;12/01/18;1100;55
333;61;01/01/19;1100;55
333;62;02/01/19;1050;52.5
333;63;03/01/19;1100;55
333;64;04/01/19;1100;55
333;65;05/01/19;1440;72
333;66;06/01/19;1200;60
333;67;07/01/19;1440;72
333;68;08/01/19;1600;80
444;78;06/01/18;10;0.5
444;79;07/01/18;10;0.5
444;80;08/01/18;50;2.5
444;81;09/01/18;10;0.5
444;82;10/01/18;10;0.5
444;83;11/01/18;10;0.5
444;84;12/01/18;50;2.5
444;85;01/01/19;10;0.5
444;86;02/01/19;50;2.5
444;87;03/01/19;10;0.5
444;88;04/01/19;10;0.5
444;89;05/01/19;10;0.5
444;90;06/01/19;10;0.5
444;91;07/01/19;10;0.5
444;92;08/01/19;60;3
444;93;09/01/19;10;0.5
444;94;10/01/19;15;0.75
444;95;11/01/19;10;0.5
444;96;12/01/19;40;2
555;97;01/01/18;1000;50
555;98;02/01/18;1100;55
555;99;03/01/18;1900;95
555;100;04/01/18;300;15
555;101;05/01/18;200;10
555;102;06/01/18;900;45
555;103;07/01/18;1900;95
555;104;08/01/18;2000;100
555;105;09/01/18;100;5
555;106;10/01/18;10;0.5
555;111;03/01/19;300;15
555;112;04/01/19;150;7.5
555;113;05/01/19;2000;100
555;114;06/01/19;900;45
555;115;07/01/19;900;45
555;116;08/01/19;500;25
555;117;09/01/19;400;20
555;118;10/01/19;3000;150
555;119;11/01/19;100;5
555;120;12/01/19;200;10
666;121;01/01/18;500;25
666;122;02/01/18;500;25
666;123;03/01/18;500;25
666;124;04/01/18;500;25
666;125;05/01/18;500;25
666;126;06/01/18;500;25
666;127;07/01/18;500;25
666;128;08/01/18;500;25
666;129;09/01/18;500;25
666;130;10/01/18;500;25
666;131;11/01/18;550;27.5
666;132;12/01/18;550;27.5
666;133;01/01/19;550;27.5
666;134;02/01/19;550;27.5
666;135;03/01/19;550;27.5
666;136;04/01/19;550;27.5
666;137;05/01/19;550;27.5
666;138;06/01/19;550;27.5
666;139;07/01/19;550;27.5
666;140;08/01/19;700;35
666;141;09/01/19;700;35
666;142;10/01/19;700;35
666;143;11/01/19;700;35
666;144;12/01/19;100;5
777;145;01/01/18;20;1
777;146;02/01/18;40;2
777;147;03/01/18;60;3
777;148;04/01/18;80;4
777;149;05/01/18;100;5
777;150;06/01/18;20;1
777;151;07/01/18;40;2
777;152;08/01/18;60;3
777;153;09/01/18;80;4
777;154;10/01/18;100;5
777;155;11/01/18;20;1
777;156;12/01/18;40;2
777;157;01/01/19;60;3
777;158;02/01/19;80;4
777;159;03/01/19;100;5
777;160;04/01/19;20;1
777;161;05/01/19;40;2
777;162;06/01/19;60;3
777;163;07/01/19;80;4
777;164;08/01/19;100;5
777;165;09/01/19;20;1
777;166;10/01/19;40;2
777;167;11/01/19;60;3
777;168;12/01/19;80;4
888;169;01/01/18;600;30
888;170;02/01/18;1000;50
888;171;03/01/18;800;40
888;172;04/01/18;1200;60
888;173;05/01/18;600;30
888;174;06/01/18;1200;60
888;175;07/01/18;3000;150
888;176;08/01/18;750;37.5
888;177;09/01/18;2000;100
888;178;10/01/18;1200;60
888;179;11/01/18;1200;60
888;180;12/01/18;150;7.5
888;181;01/01/19;100;5
888;182;02/01/19;600;30
888;183;03/01/19;3000;150
888;184;04/01/19;100;5
888;185;05/01/19;150;7.5
888;186;06/01/19;2000;100
888;187;07/01/19;150;7.5
888;188;08/01/19;3000;150
888;189;09/01/19;150;7.5
888;190;10/01/19;2000;100
888;191;11/01/19;600;30
888;192;12/01/19;600;30
999;193;01/01/18;50000;2500
999;194;02/01/18;50000;2500
999;195;03/01/18;50000;2500
999;196;04/01/18;50000;2500
999;197;05/01/18;50000;2500
999;198;06/01/18;50000;2500
999;199;07/01/18;2900;145
999;200;08/01/18;3000;150
999;201;09/01/18;8000;400
999;202;10/01/18;8000;400
999;203;11/01/18;8000;400
999;204;12/01/18;8000;400
999;205;01/01/19;8000;400
999;206;02/01/19;8000;400
999;207;03/01/19;4000;200
999;208;04/01/19;4000;200
999;209;05/01/19;4000;200
999;210;06/01/19;4000;200
999;211;07/01/19;4000;200
999;212;08/01/19;4000;200
999;213;09/01/19;1500;75
999;214;10/01/19;1500;75
999;215;11/01/19;1500;75
999;216;12/01/19;1500;75
AAA;217;01/01/18;900;45
AAA;218;02/01/18;900;45
AAA;219;03/01/18;900;45
AAA;220;04/01/18;900;45
AAA;221;05/01/18;900;45
AAA;222;06/01/18;100;5
AAA;223;07/01/18;100;5
AAA;224;08/01/18;100;5
AAA;225;09/01/18;100;5
AAA;226;10/01/18;100;5
AAA;227;11/01/18;5000;250
AAA;228;12/01/18;5000;250
AAA;229;01/01/19;5000;250
AAA;230;02/01/19;5000;250
AAA;231;03/01/19;5000;250
AAA;232;04/01/19;2000;100
AAA;233;05/01/19;2000;100
AAA;234;06/01/19;2000;100
AAA;235;07/01/19;2000;100
AAA;236;08/01/19;2000;100
AAA;237;09/01/19;2000;100
AAA;238;10/01/19;3000;150
AAA;239;11/01/19;3000;150
AAA;240;12/01/19;3000;150
BBB;241;01/01/18;50;2.5
BBB;242;02/01/18;50;2.5
BBB;243;03/01/18;15;0.75
BBB;244;04/01/18;15;0.75
