Plant,Material,Revenue,Quantity,Running,Subtotals,ABC
111,6,30000,1500.0,30000,5.555555555555555,A
111,7,30000,1500.0,60000,11.11111111111111,A
111,9,30000,1500.0,90000,16.666666666666664,A
111,10,30000,1500.0,120000,22.22222222222222,A
111,16,30000,1500.0,150000,27.77777777777778,A
111,2,5000,250.0,155000,33.33333333333333,A
111,8,5000,250.0,160000,38.88888888888889,A
111,12,5000,250.0,165000,44.44444444444444,A
111,13,5000,250.0,170000,50.0,A
111,1,3000,150.0,173000,55.55555555555556,A
111,4,3000,150.0,176000,61.111111111111114,A
111,11,3000,150.0,179000,66.66666666666666,A
111,15,3000,150.0,182000,72.22222222222221,A
111,17,3000,150.0,185000,77.77777777777779,A
111,3,1500,75.0,186500,83.33333333333334,B
111,14,1500,75.0,188000,88.88888888888889,B
111,18,1500,75.0,189500,94.44444444444444,B
111,5,1450,72.5,190950,100.0,C
222,35,700,35.0,700,5.555555555555555,A
222,41,700,35.0,1400,11.11111111111111,A
222,45,700,35.0,2100,16.666666666666664,A
222,32,600,30.0,2700,22.22222222222222,A
222,33,600,30.0,3300,27.77777777777778,A
222,34,600,30.0,3900,33.33333333333333,A
222,38,600,30.0,4500,38.88888888888889,A
222,42,600,30.0,5100,44.44444444444444,A
222,43,600,30.0,5700,50.0,A
222,44,600,30.0,6300,55.55555555555556,A
222,48,600,30.0,6900,61.111111111111114,A
222,31,500,25.0,7400,66.66666666666666,A
222,37,500,25.0,7900,72.22222222222221,A
222,40,500,25.0,8400,77.77777777777779,A
222,47,500,25.0,8900,83.33333333333334,B
222,36,400,20.0,9300,88.88888888888889,B
222,39,400,20.0,9700,94.44444444444444,B
222,46,400,20.0,10100,100.0,C
333,68,1600,80.0,1600,5.0,A
333,65,1440,72.0,3040,10.0,A
333,67,1440,72.0,4480,15.0,A
333,66,1200,60.0,5680,20.0,A
333,59,1100,55.0,6780,25.0,A
333,60,1100,55.0,7880,30.0,A
333,61,1100,55.0,8980,35.0,A
333,63,1100,55.0,10080,40.0,A
333,64,1100,55.0,11180,45.0,A
333,62,1050,52.5,12230,50.0,A
333,49,1000,50.0,13230,55.00000000000001,A
333,50,1000,50.0,14230,60.0,A
333,51,1000,50.0,15230,65.0,A
333,53,1000,50.0,16230,70.0,A
333,54,1000,50.0,17230,75.0,A
333,55,1000,50.0,18230,80.0,B
333,56,1000,50.0,19230,85.0,B
333,57,1000,50.0,20230,90.0,B
333,58,800,40.0,21030,95.0,C
333,52,500,25.0,21530,100.0,C
444,92,60,3.0,60,5.263157894736842,A
444,80,50,2.5,110,10.526315789473683,A
444,84,50,2.5,160,15.789473684210526,A
444,86,50,2.5,210,21.052631578947366,A
444,96,40,2.0,250,26.31578947368421,A
444,94,15,0.75,265,31.57894736842105,A
444,78,10,0.5,275,36.84210526315789,A
444,79,10,0.5,285,42.10526315789473,A
444,81,10,0.5,295,47.368421052631575,A
444,82,10,0.5,305,52.63157894736842,A
444,83,10,0.5,315,57.89473684210527,A
444,85,10,0.5,325,63.1578947368421,A
444,87,10,0.5,335,68.42105263157895,A
444,88,10,0.5,345,73.68421052631578,A
444,89,10,0.5,355,78.94736842105263,A
444,90,10,0.5,365,84.21052631578947,B
444,91,10,0.5,375,89.47368421052632,B
444,93,10,0.5,385,94.73684210526315,B
444,95,10,0.5,395,100.0,C
555,118,3000,150.0,3000,5.0,A
555,104,2000,100.0,5000,10.0,A
555,113,2000,100.0,7000,15.0,A
555,99,1900,95.0,8900,20.0,A
555,103,1900,95.0,10800,25.0,A
555,98,1100,55.0,11900,30.0,A
555,97,1000,50.0,12900,35.0,A
555,102,900,45.0,13800,40.0,A
555,114,900,45.0,14700,45.0,A
555,115,900,45.0,15600,50.0,A
555,116,500,25.0,16100,55.00000000000001,A
555,117,400,20.0,16500,60.0,A
555,100,300,15.0,16800,65.0,A
555,111,300,15.0,17100,70.0,A
555,101,200,10.0,17300,75.0,A
555,120,200,10.0,17500,80.0,B
555,112,150,7.5,17650,85.0,B
555,105,100,5.0,17750,90.0,B
555,119,100,5.0,17850,95.0,C
555,106,10,0.5,17860,100.0,C
666,140,700,35.0,700,4.166666666666666,A
666,141,700,35.0,1400,8.333333333333332,A
666,142,700,35.0,2100,12.5,A
666,143,700,35.0,2800,16.666666666666664,A
666,131,550,27.5,3350,20.833333333333336,A
666,132,550,27.5,3900,25.0,A
666,133,550,27.5,4450,29.166666666666668,A
666,134,550,27.5,5000,33.33333333333333,A
666,135,550,27.5,5550,37.5,A
666,136,550,27.5,6100,41.66666666666667,A
666,137,550,27.5,6650,45.83333333333333,A
666,138,550,27.5,7200,50.0,A
666,139,550,27.5,7750,54.166666666666664,A
666,121,500,25.0,8250,58.333333333333336,A
666,122,500,25.0,8750,62.5,A
666,123,500,25.0,9250,66.66666666666666,A
666,124,500,25.0,9750,70.83333333333334,A
666,125,500,25.0,10250,75.0,A
666,126,500,25.0,10750,79.16666666666666,A
666,127,500,25.0,11250,83.33333333333334,B
666,128,500,25.0,11750,87.5,B
666,129,500,25.0,12250,91.66666666666666,B
666,130,500,25.0,12750,95.83333333333334,C
666,144,100,5.0,12850,100.0,C
777,149,100,5.0,100,4.166666666666666,A
777,154,100,5.0,200,8.333333333333332,A
777,159,100,5.0,300,12.5,A
777,164,100,5.0,400,16.666666666666664,A
777,148,80,4.0,480,20.833333333333336,A
777,153,80,4.0,560,25.0,A
777,158,80,4.0,640,29.166666666666668,A
777,163,80,4.0,720,33.33333333333333,A
777,168,80,4.0,800,37.5,A
777,147,60,3.0,860,41.66666666666667,A
777,152,60,3.0,920,45.83333333333333,A
777,157,60,3.0,980,50.0,A
777,162,60,3.0,1040,54.166666666666664,A
777,167,60,3.0,1100,58.333333333333336,A
777,146,40,2.0,1140,62.5,A
777,151,40,2.0,1180,66.66666666666666,A
777,156,40,2.0,1220,70.83333333333334,A
777,161,40,2.0,1260,75.0,A
777,166,40,2.0,1300,79.16666666666666,A
777,145,20,1.0,1320,83.33333333333334,B
777,150,20,1.0,1340,87.5,B
777,155,20,1.0,1360,91.66666666666666,B
777,160,20,1.0,1380,95.83333333333334,C
777,165,20,1.0,1400,100.0,C
888,175,3000,150.0,3000,4.166666666666666,A
888,183,3000,150.0,6000,8.333333333333332,A
888,188,3000,150.0,9000,12.5,A
888,177,2000,100.0,11000,16.666666666666664,A
888,186,2000,100.0,13000,20.833333333333336,A
888,190,2000,100.0,15000,25.0,A
888,172,1200,60.0,16200,29.166666666666668,A
888,174,1200,60.0,17400,33.33333333333333,A
888,178,1200,60.0,18600,37.5,A
888,179,1200,60.0,19800,41.66666666666667,A
888,170,1000,50.0,20800,45.83333333333333,A
888,171,800,40.0,21600,50.0,A
888,176,750,37.5,22350,54.166666666666664,A
888,169,600,30.0,22950,58.333333333333336,A
888,173,600,30.0,23550,62.5,A
888,182,600,30.0,24150,66.66666666666666,A
888,191,600,30.0,24750,70.83333333333334,A
888,192,600,30.0,25350,75.0,A
888,180,150,7.5,25500,79.16666666666666,A
888,185,150,7.5,25650,83.33333333333334,B
888,187,150,7.5,25800,87.5,B
888,189,150,7.5,25950,91.66666666666666,B
888,181,100,5.0,26050,95.83333333333334,C
888,184,100,5.0,26150,100.0,C
999,193,50000,2500.0,50000,4.166666666666666,A
999,194,50000,2500.0,100000,8.333333333333332,A
999,195,50000,2500.0,150000,12.5,A
999,196,50000,2500.0,200000,16.666666666666664,A
999,197,50000,2500.0,250000,20.833333333333336,A
999,198,50000,2500.0,300000,25.0,A
999,201,8000,400.0,308000,29.166666666666668,A
999,202,8000,400.0,316000,33.33333333333333,A
999,203,8000,400.0,324000,37.5,A
999,204,8000,400.0,332000,41.66666666666667,A
999,205,8000,400.0,340000,45.83333333333333,A
999,206,8000,400.0,348000,50.0,A
999,207,4000,200.0,352000,54.166666666666664,A
999,208,4000,200.0,356000,58.333333333333336,A
999,209,4000,200.0,360000,62.5,A
999,210,4000,200.0,364000,66.66666666666666,A
999,211,4000,200.0,368000,70.83333333333334,A
999,212,4000,200.0,372000,75.0,A
999,200,3000,150.0,375000,79.16666666666666,A
999,199,2900,145.0,377900,83.33333333333334,B
999,213,1500,75.0,379400,87.5,B
999,214,1500,75.0,380900,91.66666666666666,B
999,215,1500,75.0,382400,95.83333333333334,C
999,216,1500,75.0,383900,100.0,C
AAA,227,5000,250.0,5000,4.166666666666666,A
AAA,228,5000,250.0,10000,8.333333333333332,A
AAA,229,5000,250.0,15000,12.5,A
AAA,230,5000,250.0,20000,16.666666666666664,A
AAA,231,5000,250.0,25000,20.833333333333336,A
AAA,238,3000,150.0,28000,25.0,A
AAA,239,3000,150.0,31000,29.166666666666668,A
AAA,240,3000,150.0,34000,33.33333333333333,A
AAA,232,2000,100.0,36000,37.5,A
AAA,233,2000,100.0,38000,41.66666666666667,A
AAA,234,2000,100.0,40000,45.83333333333333,A
AAA,235,2000,100.0,42000,50.0,A
AAA,236,2000,100.0,44000,54.166666666666664,A
AAA,237,2000,100.0,46000,58.333333333333336,A
AAA,217,900,45.0,46900,62.5,A
AAA,218,900,45.0,47800,66.66666666666666,A
AAA,219,900,45.0,48700,70.83333333333334,A
AAA,220,900,45.0,49600,75.0,A
AAA,221,900,45.0,50500,79.16666666666666,A
AAA,222,100,5.0,50600,83.33333333333334,B
AAA,223,100,5.0,50700,87.5,B
AAA,224,100,5.0,50800,91.66666666666666,B
AAA,225,100,5.0,50900,95.83333333333334,C
AAA,226,100,5.0,51000,100.0,C
BBB,253,55,2.75,55,4.166666666666666,A
BBB,254,55,2.75,110,8.333333333333332,A
BBB,255,55,2.75,165,12.5,A
BBB,256,55,2.75,220,16.666666666666664,A
BBB,241,50,2.5,270,20.833333333333336,A
BBB,242,50,2.5,320,25.0,A
BBB,249,35,1.75,355,29.166666666666668,A
BBB,250,35,1.75,390,33.33333333333333,A
BBB,251,35,1.75,425,37.5,A
BBB,252,35,1.75,460,41.66666666666667,A
BBB,260,30,1.5,490,45.83333333333333,A
BBB,261,30,1.5,520,50.0,A
BBB,262,30,1.5,550,54.166666666666664,A
BBB,263,30,1.5,580,58.333333333333336,A
BBB,264,30,1.5,610,62.5,A
BBB,246,25,1.25,635,66.66666666666666,A
BBB,247,25,1.25,660,70.83333333333334,A
BBB,248,25,1.25,685,75.0,A
BBB,243,15,0.75,700,79.16666666666666,A
BBB,244,15,0.75,715,83.33333333333334,B
BBB,245,15,0.75,730,87.5,B
BBB,257,10,0.5,740,91.66666666666666,B
BBB,258,10,0.5,750,95.83333333333334,C
BBB,259,10,0.5,760,100.0,C
CCC,270,3000,150.0,3000,4.166666666666666,A
CCC,271,3000,150.0,6000,8.333333333333332,A
CCC,272,3000,150.0,9000,12.5,A
CCC,273,3000,150.0,12000,16.666666666666664,A
CCC,274,3000,150.0,15000,20.833333333333336,A
CCC,265,2500,125.0,17500,25.0,A
CCC,266,2500,125.0,20000,29.166666666666668,A
CCC,267,2500,125.0,22500,33.33333333333333,A
CCC,268,2500,125.0,25000,37.5,A
CCC,269,2500,125.0,27500,41.66666666666667,A
CCC,287,2000,100.0,29500,45.83333333333333,A
CCC,288,2000,100.0,31500,50.0,A
CCC,284,1500,75.0,33000,54.166666666666664,A
CCC,285,1500,75.0,34500,58.333333333333336,A
CCC,286,1500,75.0,36000,62.5,A
CCC,281,500,25.0,36500,66.66666666666666,A
CCC,282,500,25.0,37000,70.83333333333334,A
CCC,283,500,25.0,37500,75.0,A
CCC,275,250,12.5,37750,79.16666666666666,A
CCC,276,250,12.5,38000,83.33333333333334,B
CCC,277,100,5.0,38100,87.5,B
CCC,278,100,5.0,38200,91.66666666666666,B
CCC,279,100,5.0,38300,95.83333333333334,C
CCC,280,100,5.0,38400,100.0,C
DDD,310,1500,75.0,1500,4.166666666666666,A
DDD,311,1500,75.0,3000,8.333333333333332,A
DDD,312,1500,75.0,4500,12.5,A
DDD,305,1232,61.6,5732,16.666666666666664,A
DDD,306,1232,61.6,6964,20.833333333333336,A
DDD,307,1232,61.6,8196,25.0,A
DDD,308,1232,61.6,9428,29.166666666666668,A
DDD,309,1232,61.6,10660,33.33333333333333,A
DDD,299,999,49.95,11659,37.5,A
DDD,300,999,49.95,12658,41.66666666666667,A
DDD,301,999,49.95,13657,45.83333333333333,A
DDD,302,999,49.95,14656,50.0,A
DDD,303,999,49.95,15655,54.166666666666664,A
DDD,304,999,49.95,16654,58.333333333333336,A
DDD,293,666,33.3,17320,62.5,A
DDD,294,666,33.3,17986,66.66666666666666,A
DDD,295,666,33.3,18652,70.83333333333334,A
DDD,296,666,33.3,19318,75.0,A
DDD,297,666,33.3,19984,79.16666666666666,A
DDD,298,666,33.3,20650,83.33333333333334,B
DDD,289,333,16.65,20983,87.5,B
DDD,290,333,16.65,21316,91.66666666666666,B
DDD,291,333,16.65,21649,95.83333333333334,C
DDD,292,333,16.65,21982,100.0,C
EEE,313,40000,2000.0,40000,4.166666666666666,A
EEE,314,40000,2000.0,80000,8.333333333333332,A
EEE,315,40000,2000.0,120000,12.5,A
EEE,334,40000,2000.0,160000,16.666666666666664,A
EEE,335,40000,2000.0,200000,20.833333333333336,A
EEE,336,40000,2000.0,240000,25.0,A
EEE,319,30000,1500.0,270000,29.166666666666668,A
EEE,320,30000,1500.0,300000,33.33333333333333,A
EEE,321,30000,1500.0,330000,37.5,A
EEE,322,30000,1500.0,360000,41.66666666666667,A
EEE,327,3800,190.0,363800,45.83333333333333,A
EEE,328,3800,190.0,367600,50.0,A
EEE,329,3800,190.0,371400,54.166666666666664,A
EEE,330,3800,190.0,375200,58.333333333333336,A
EEE,323,500,25.0,375700,62.5,A
EEE,324,500,25.0,376200,66.66666666666666,A
EEE,325,500,25.0,376700,70.83333333333334,A
EEE,326,500,25.0,377200,75.0,A
EEE,331,400,20.0,377600,79.16666666666666,A
EEE,332,400,20.0,378000,83.33333333333334,B
EEE,333,400,20.0,378400,87.5,B
EEE,316,200,10.0,378600,91.66666666666666,B
EEE,317,200,10.0,378800,95.83333333333334,C
EEE,318,200,10.0,379000,100.0,C
X111,338,3500,175.0,3500,4.166666666666666,A
X111,342,3000,150.0,6500,8.333333333333332,A
X111,343,3000,150.0,9500,12.5,A
X111,345,3000,150.0,12500,16.666666666666664,A
X111,346,3000,150.0,15500,20.833333333333336,A
X111,352,3000,150.0,18500,25.0,A
X111,358,3000,150.0,21500,29.166666666666668,A
X111,360,3000,150.0,24500,33.33333333333333,A
X111,337,2000,100.0,26500,37.5,A
X111,340,2000,100.0,28500,41.66666666666667,A
X111,344,2000,100.0,30500,45.83333333333333,A
X111,348,2000,100.0,32500,50.0,A
X111,353,1800,90.0,34300,54.166666666666664,A
X111,347,1750,87.5,36050,58.333333333333336,A
X111,349,1750,87.5,37800,62.5,A
X111,351,1750,87.5,39550,66.66666666666666,A
X111,355,1750,87.5,41300,70.83333333333334,A
X111,356,1750,87.5,43050,75.0,A
X111,339,1500,75.0,44550,79.16666666666666,A
